"samuel_pickwick::lively";"samuel_pickwick::sensible"
"pickwick::little";"weller::nice"
"pickwick::little";"weller::relaxed"
"pickwick::little";"weller::young"
"pickwick::nice";"pickwick::relaxed"
"pickwick::nice";"pickwick::young"
"pickwick::nice";"weller::little"
"pickwick::nice";"weller::nice"
"pickwick::nice";"weller::relaxed"
"pickwick::nice";"weller::young"
"pickwick::relaxed";"pickwick::young"
"pickwick::relaxed";"weller::little"
"pickwick::relaxed";"weller::nice"
"pickwick::relaxed";"weller::relaxed"
"pickwick::relaxed";"weller::young"
"pickwick::young";"weller::little"
"pickwick::young";"weller::nice"
"pickwick::young";"weller::relaxed"
"pickwick::young";"weller::young"
"weller::little";"weller::relaxed"
"weller::little";"weller::young"
"weller::nice";"weller::relaxed"
"weller::nice";"weller::young"
"weller::relaxed";"weller::young"
"pickwick::expressive";"pickwick::mean"
"pickwick::expressive";"pickwick::pleasing"
"pickwick::expressive";"pickwick::sensible"
"pickwick::expressive";"sam::expressive"
"pickwick::expressive";"sam::mean"
"pickwick::expressive";"sam::pleasing"
"pickwick::expressive";"sam::sensible"
"pickwick::expressive";"weller::expressive"
"pickwick::expressive";"weller::mean"
"pickwick::expressive";"weller::pleasing"
"pickwick::expressive";"weller::sensible"
"pickwick::mean";"pickwick::pleasing"
"pickwick::mean";"pickwick::sensible"
"pickwick::mean";"sam::expressive"
"pickwick::mean";"sam::mean"
"pickwick::mean";"sam::pleasing"
"pickwick::mean";"sam::sensible"
"pickwick::mean";"weller::expressive"
"pickwick::mean";"weller::mean"
"pickwick::mean";"weller::pleasing"
"pickwick::mean";"weller::sensible"
"pickwick::pleasing";"pickwick::sensible"
"pickwick::pleasing";"sam::expressive"
"pickwick::pleasing";"sam::mean"
"pickwick::pleasing";"sam::pleasing"
"pickwick::pleasing";"sam::sensible"
"pickwick::pleasing";"weller::expressive"
"pickwick::pleasing";"weller::mean"
"pickwick::pleasing";"weller::pleasing"
"pickwick::pleasing";"weller::sensible"
"pickwick::sensible";"sam::expressive"
"pickwick::sensible";"sam::mean"
"pickwick::sensible";"sam::pleasing"
"pickwick::sensible";"sam::sensible"
"pickwick::sensible";"weller::expressive"
"pickwick::sensible";"weller::mean"
"pickwick::sensible";"weller::pleasing"
"pickwick::sensible";"weller::sensible"
"sam::expressive";"sam::mean"
"sam::expressive";"sam::pleasing"
"sam::expressive";"sam::sensible"
"sam::expressive";"weller::expressive"
"sam::expressive";"weller::mean"
"sam::expressive";"weller::pleasing"
"sam::expressive";"weller::sensible"
"sam::mean";"sam::pleasing"
"sam::mean";"sam::sensible"
"sam::mean";"weller::expressive"
"sam::mean";"weller::mean"
"sam::mean";"weller::pleasing"
"sam::mean";"weller::sensible"
"sam::pleasing";"sam::sensible"
"sam::pleasing";"weller::expressive"
"sam::pleasing";"weller::mean"
"sam::pleasing";"weller::pleasing"
"sam::pleasing";"weller::sensible"
"sam::sensible";"weller::expressive"
"sam::sensible";"weller::mean"
"sam::sensible";"weller::pleasing"
"sam::sensible";"weller::sensible"
"weller::expressive";"weller::mean"
"weller::expressive";"weller::pleasing"
"weller::expressive";"weller::sensible"
"weller::mean";"weller::pleasing"
"weller::mean";"weller::sensible"
"weller::pleasing";"weller::sensible"
"pickwick::furious";"sam::furious"
"pickwick::furious";"weller::furious"
"sam::furious";"weller::furious"
"fogg::little";"pickwick::little"
"fogg::little";"sam::little"
"pickwick::respectful";"sam::respectful"
"pickwick::respectful";"weller::respectful"
"sam::respectful";"weller::respectful"
"pickwick::strange";"sam::strange"
"pickwick::strange";"sammy::strange"
"sam::strange";"sammy::strange"
"sammy::laughing";"sammy::old"
"sammy::good";"weller::good"
"sam::old";"sammy::old"
"sam::old";"weller::old"
"sammy::old";"weller::old"
"hollo::old";"perker::old"
"perker::old";"perker::thin"
"pickwick::curious";"pickwick::old"
"pickwick::curious";"sam::curious"
"pickwick::curious";"sam::old"
"pickwick::old";"sam::curious"
"sam::curious";"sam::old"
"clare_market::happy";"pickwick::happy"
"clare_market::happy";"sam::happy"
"pickwick::happy";"sam::happy"
"lowten::young";"pickwick::young"
"lowten::young";"sam::young"
"chairman::open";"chairman::young"
"jove::great";"jove::little"
"jove::great";"jove::old"
"jove::great";"pickwick::great"
"jove::great";"pickwick::little"
"jove::great";"pickwick::old"
"jove::little";"jove::old"
"jove::little";"pickwick::great"
"jove::little";"pickwick::little"
"jove::little";"pickwick::old"
"jove::old";"pickwick::great"
"jove::old";"pickwick::little"
"jove::old";"pickwick::old"
"jack_bamber::remarkable";"jack_bamber::respectful"
"jack_bamber::old";"pickwick::old"
"jack_bamber::great";"pickwick::great"
"pickwick::comfortable";"pickwick::old"
"pickwick::humorous";"weller::humorous"
"sammy::affectionate";"weller::affectionate"
"sammy::impressive";"weller::impressive"
"pickwick::good";"pickwick::original"
"pickwick::good";"pickwick::proud"
"pickwick::original";"pickwick::proud"
"peter_magnus::well";"pickwick::well"
"pickwick::remarkable";"weller::remarkable"
"peter_magnus::good";"pickwick::good"
"peter_magnus::bashful";"pickwick::bashful"
"peter_magnus::fortunate";"pickwick::fortunate"
"peter_magnus::curious";"peter_magnus::pleasant"
"peter_magnus::curious";"pickwick::curious"
"peter_magnus::curious";"pickwick::pleasant"
"peter_magnus::pleasant";"pickwick::curious"
"peter_magnus::pleasant";"pickwick::pleasant"
"pickwick::curious";"pickwick::pleasant"
"pickwick::little";"pickwick::proper"
"pickwick::awful";"pickwick::cold"
"pickwick::awful";"pickwick::poor"
"pickwick::cold";"pickwick::poor"
"pickwick::good";"pickwick::productive"
"pickwick::extraordinary";"sam::extraordinary"
"pickwick::extraordinary";"weller::extraordinary"
"sam::extraordinary";"weller::extraordinary"
"pickwick::excellent";"weller::excellent"
"sammy::good";"wery::good"
"weller::good";"wery::good"
"sam::pretty";"weller::pretty"
"sammy::good";"trotter::good"
"samuel_weller::artificial";"samuel_weller::extraordinary"
"trotter::giving";"trotter::natural"
"trotter::giving";"weller::giving"
"trotter::giving";"weller::natural"
"trotter::natural";"weller::giving"
"trotter::natural";"weller::natural"
"weller::giving";"weller::natural"
"job_trotter::forward";"job_trotter::glad"
"job_trotter::forward";"walker::forward"
"job_trotter::forward";"walker::glad"
"job_trotter::glad";"walker::forward"
"job_trotter::glad";"walker::glad"
"walker::forward";"walker::glad"
"job_trotter::glad";"weller::glad"
"walker::great";"weller::great"
"sam::hard";"weller::hard"
"sam::hard";"wery::hard"
"weller::hard";"wery::hard"
"weller::bad";"weller::great"
"weller::sweet";"weller::young"
"sam::little";"trotter::little"
"magnus::great";"pickwick::great"
"pickwick::great";"pickwick::impressive"
"pickwick::great";"pickwick::pleased"
"pickwick::impressive";"pickwick::pleased"
"peter_magnus::intellectual";"snodgrass::intellectual"
"peter_magnus::intellectual";"tupman::intellectual"
"peter_magnus::intellectual";"winkle::intellectual"
"snodgrass::intellectual";"tupman::intellectual"
"snodgrass::intellectual";"winkle::intellectual"
"tupman::intellectual";"winkle::intellectual"
"peter_magnus::expressive";"pickwick::expressive"
"peter_magnus::middle-aged";"pickwick::middle-aged"
"peter_magnus::middle-aged";"witherfield::middle-aged"
"pickwick::middle-aged";"witherfield::middle-aged"
"magnus::middle-aged";"pickwick::middle-aged"
"magnus::alone";"pickwick::alone"
"pickwick::involved";"pickwick::irritated"
"pickwick::involved";"pickwick::middle-aged"
"pickwick::irritated";"pickwick::middle-aged"
"nupkins::elderly";"nupkins::obnoxious"
"jinks::short";"witherfield::short"
"grummer::quiet";"grummer::well"
"pickwick::determined";"pickwick::talkative"
"grummer::mean";"tupman::mean"
"grummer::firm";"tupman::firm"
"grummer::great";"grummer::little"
"grummer::great";"grummer::old"
"grummer::great";"sam::great"
"grummer::great";"sam::little"
"grummer::great";"sam::old"
"grummer::little";"grummer::old"
"grummer::little";"sam::great"
"grummer::little";"sam::little"
"grummer::little";"sam::old"
"grummer::old";"sam::great"
"grummer::old";"sam::little"
"grummer::old";"sam::old"
"sam::great";"sam::little"
"sam::great";"sam::old"
"sam::little";"sam::old"
"grummer::certain";"grummer::loud"
"grummer::certain";"grummer::terrific"
"grummer::certain";"snodgrass::certain"
"grummer::certain";"snodgrass::loud"
"grummer::certain";"snodgrass::terrific"
"grummer::certain";"weller::certain"
"grummer::certain";"weller::loud"
"grummer::certain";"weller::terrific"
"grummer::certain";"winkle::certain"
"grummer::certain";"winkle::loud"
"grummer::certain";"winkle::terrific"
"grummer::loud";"grummer::terrific"
"grummer::loud";"snodgrass::certain"
"grummer::loud";"snodgrass::loud"
"grummer::loud";"snodgrass::terrific"
"grummer::loud";"weller::certain"
"grummer::loud";"weller::loud"
"grummer::loud";"weller::terrific"
"grummer::loud";"winkle::certain"
"grummer::loud";"winkle::loud"
"grummer::loud";"winkle::terrific"
"grummer::terrific";"snodgrass::certain"
"grummer::terrific";"snodgrass::loud"
"grummer::terrific";"snodgrass::terrific"
"grummer::terrific";"weller::certain"
"grummer::terrific";"weller::loud"
"grummer::terrific";"weller::terrific"
"grummer::terrific";"winkle::certain"
"grummer::terrific";"winkle::loud"
"grummer::terrific";"winkle::terrific"
"snodgrass::certain";"snodgrass::loud"
"snodgrass::certain";"snodgrass::terrific"
"snodgrass::certain";"weller::certain"
"snodgrass::certain";"weller::loud"
"snodgrass::certain";"weller::terrific"
"snodgrass::certain";"winkle::certain"
"snodgrass::certain";"winkle::loud"
"snodgrass::certain";"winkle::terrific"
"snodgrass::loud";"snodgrass::terrific"
"snodgrass::loud";"weller::certain"
"snodgrass::loud";"weller::loud"
"snodgrass::loud";"weller::terrific"
"snodgrass::loud";"winkle::certain"
"snodgrass::loud";"winkle::loud"
"snodgrass::loud";"winkle::terrific"
"snodgrass::terrific";"weller::certain"
"snodgrass::terrific";"weller::loud"
"snodgrass::terrific";"weller::terrific"
"snodgrass::terrific";"winkle::certain"
"snodgrass::terrific";"winkle::loud"
"snodgrass::terrific";"winkle::terrific"
"weller::certain";"weller::loud"
"weller::certain";"weller::terrific"
"weller::certain";"winkle::certain"
"weller::certain";"winkle::loud"
"weller::certain";"winkle::terrific"
"weller::loud";"weller::terrific"
"weller::loud";"winkle::certain"
"weller::loud";"winkle::loud"
"weller::loud";"winkle::terrific"
"weller::terrific";"winkle::certain"
"weller::terrific";"winkle::loud"
"weller::terrific";"winkle::terrific"
"winkle::certain";"winkle::loud"
"winkle::certain";"winkle::terrific"
"winkle::loud";"winkle::terrific"
"grummer::short";"jinks::short"
"grummer::short";"nupkins::short"
"jinks::short";"nupkins::short"
"daniel_grummer::fine";"snodgrass::fine"
"daniel_grummer::fine";"winkle::fine"
"snodgrass::fine";"winkle::fine"
"pickwick::forward";"pickwick::private"
"nupkins::little";"pickwick::little"
"fitz-marshall::certain";"weller_pickwick::certain"
"fitz-marshall::certain";"wery::certain"
"weller_pickwick::certain";"wery::certain"
"pickwick::excited";"pickwick::foolish"
"pickvick::#-mean";"sam_pickwick::#-mean"
"fitz_-_marshall::devoted";"fitz-marshall::devoted"
"fitz_-_marshall::devoted";"nupkins::devoted"
"fitz_-_marshall::devoted";"porkenham::devoted"
"fitz_-_marshall::devoted";"sidney_porkenham::devoted"
"fitz-marshall::devoted";"nupkins::devoted"
"fitz-marshall::devoted";"porkenham::devoted"
"fitz-marshall::devoted";"sidney_porkenham::devoted"
"nupkins::devoted";"porkenham::devoted"
"nupkins::devoted";"sidney_porkenham::devoted"
"porkenham::devoted";"sidney_porkenham::devoted"
"nupkins::kind";"pickwick::kind"
"henrietta::appealing";"nupkins::appealing"
"sam::pleasant";"weller::pleasant"
"muzzle::great";"sam::great"
"mary::loud";"mary::young"
"mary::loud";"samuel_weller::loud"
"mary::loud";"samuel_weller::young"
"mary::young";"samuel_weller::loud"
"mary::young";"samuel_weller::young"
"samuel_weller::loud";"samuel_weller::young"
"job_trotter::busy";"job_trotter::pretty"
"job_trotter::busy";"muzzle::busy"
"job_trotter::busy";"muzzle::pretty"
"job_trotter::busy";"weller::busy"
"job_trotter::busy";"weller::pretty"
"job_trotter::pretty";"muzzle::busy"
"job_trotter::pretty";"muzzle::pretty"
"job_trotter::pretty";"weller::busy"
"job_trotter::pretty";"weller::pretty"
"muzzle::busy";"muzzle::pretty"
"muzzle::busy";"weller::busy"
"muzzle::busy";"weller::pretty"
"muzzle::pretty";"weller::busy"
"muzzle::pretty";"weller::pretty"
"weller::busy";"weller::pretty"
"sam::nice";"sam::young"
"muzzle::little";"muzzle::private"
"nupkins::little";"tupman::little"
"sidney_porkenham::#-rich";"sidney_porkenham::young"
"pickwick::hopeful";"trotter::hopeful"
"pickwick::hopeful";"weller::hopeful"
"trotter::hopeful";"weller::hopeful"
"jingle::great";"muzzle::great"
"dodson::accomplished";"fogg::accomplished"
"dodson::accomplished";"pickwick::accomplished"
"fogg::accomplished";"pickwick::accomplished"
"bardell::good";"sam::good"
"bardell::good";"weller::good"
"bardell::good";"wery::good"
"pickwick::good";"weller::good"
"pickwick::good";"wery::good"
"sam::good";"wery::good"
"master_bardell::pretty";"weller::pretty"
"master_bardell::pretty";"master_bardell::young"
"master_bardell::pretty";"sam::pretty"
"master_bardell::pretty";"sam::young"
"master_bardell::young";"sam::pretty"
"master_bardell::young";"sam::young"
"sam::pretty";"sam::young"
"bardell::proper";"pickwick::proper"
"sam::certain";"sam::little"
"sam::certain";"sanders::certain"
"sam::certain";"sanders::little"
"sam::little";"sanders::certain"
"sam::little";"sanders::little"
"sanders::certain";"sanders::little"
"bardell::great";"sam::great"
"bardell::great";"weller::great"
"bardell::good";"cluppins::good"
"bardell::good";"lauk::good"
"bardell::good";"sanders::good"
"cluppins::good";"lauk::good"
"cluppins::good";"sanders::good"
"lauk::good";"sanders::good"
"cluppins::little";"cluppins::talkative"
"bardell::forward";"weller::forward"
"bardell::terrible";"dodson::terrible"
"bardell::terrible";"fogg::terrible"
"bardell::terrible";"weller::terrible"
"dodson::terrible";"fogg::terrible"
"dodson::terrible";"weller::terrible"
"fogg::terrible";"weller::terrible"
"bardell::generous";"bardell::kind"
"bardell::generous";"bardell::little"
"bardell::generous";"dodson::generous"
"bardell::generous";"dodson::kind"
"bardell::generous";"dodson::little"
"bardell::generous";"weller::generous"
"bardell::generous";"weller::kind"
"bardell::generous";"weller::little"
"bardell::kind";"bardell::little"
"bardell::kind";"dodson::generous"
"bardell::kind";"dodson::kind"
"bardell::kind";"dodson::little"
"bardell::kind";"weller::generous"
"bardell::kind";"weller::kind"
"bardell::kind";"weller::little"
"bardell::little";"dodson::generous"
"bardell::little";"dodson::kind"
"bardell::little";"dodson::little"
"bardell::little";"weller::generous"
"bardell::little";"weller::kind"
"bardell::little";"weller::little"
"dodson::generous";"dodson::kind"
"dodson::generous";"dodson::little"
"dodson::generous";"weller::generous"
"dodson::generous";"weller::kind"
"dodson::generous";"weller::little"
"dodson::kind";"dodson::little"
"dodson::kind";"weller::generous"
"dodson::kind";"weller::kind"
"dodson::kind";"weller::little"
"dodson::little";"weller::generous"
"dodson::little";"weller::kind"
"dodson::little";"weller::little"
"weller::generous";"weller::kind"
"weller::generous";"weller::little"
"weller::kind";"weller::little"
"sam::great";"sanders::great"
"dingley_dell::pleasant";"perker::pleasant"
"dingley_dell::pleasant";"pickwick::pleasant"
"dingley_dell::pleasant";"weller::pleasant"
"perker::pleasant";"pickwick::pleasant"
"perker::pleasant";"weller::pleasant"
"pickwick::pleasant";"weller::pleasant"
"dingley_dell::#-thinking";"dingley_dell::affectionate"
"dingley_dell::#-thinking";"dingley_dell::fine"
"dingley_dell::#-thinking";"george::#-thinking"
"dingley_dell::#-thinking";"george::affectionate"
"dingley_dell::#-thinking";"george::fine"
"dingley_dell::#-thinking";"samuel_weller::#-thinking"
"dingley_dell::#-thinking";"samuel_weller::affectionate"
"dingley_dell::#-thinking";"samuel_weller::fine"
"dingley_dell::#-thinking";"weller::#-thinking"
"dingley_dell::#-thinking";"weller::affectionate"
"dingley_dell::#-thinking";"weller::fine"
"dingley_dell::affectionate";"dingley_dell::fine"
"dingley_dell::affectionate";"george::#-thinking"
"dingley_dell::affectionate";"george::affectionate"
"dingley_dell::affectionate";"george::fine"
"dingley_dell::affectionate";"samuel_weller::#-thinking"
"dingley_dell::affectionate";"samuel_weller::affectionate"
"dingley_dell::affectionate";"samuel_weller::fine"
"dingley_dell::affectionate";"weller::#-thinking"
"dingley_dell::affectionate";"weller::affectionate"
"dingley_dell::affectionate";"weller::fine"
"dingley_dell::fine";"george::#-thinking"
"dingley_dell::fine";"george::affectionate"
"dingley_dell::fine";"george::fine"
"dingley_dell::fine";"samuel_weller::#-thinking"
"dingley_dell::fine";"samuel_weller::affectionate"
"dingley_dell::fine";"samuel_weller::fine"
"dingley_dell::fine";"weller::#-thinking"
"dingley_dell::fine";"weller::affectionate"
"dingley_dell::fine";"weller::fine"
"george::#-thinking";"george::affectionate"
"george::#-thinking";"george::fine"
"george::#-thinking";"samuel_weller::#-thinking"
"george::#-thinking";"samuel_weller::affectionate"
"george::#-thinking";"samuel_weller::fine"
"george::#-thinking";"weller::#-thinking"
"george::#-thinking";"weller::affectionate"
"george::#-thinking";"weller::fine"
"george::affectionate";"george::fine"
"george::affectionate";"samuel_weller::#-thinking"
"george::affectionate";"samuel_weller::affectionate"
"george::affectionate";"samuel_weller::fine"
"george::affectionate";"weller::#-thinking"
"george::affectionate";"weller::affectionate"
"george::affectionate";"weller::fine"
"george::fine";"samuel_weller::#-thinking"
"george::fine";"samuel_weller::affectionate"
"george::fine";"samuel_weller::fine"
"george::fine";"weller::#-thinking"
"george::fine";"weller::affectionate"
"george::fine";"weller::fine"
"samuel_weller::#-thinking";"samuel_weller::affectionate"
"samuel_weller::#-thinking";"samuel_weller::fine"
"samuel_weller::#-thinking";"weller::#-thinking"
"samuel_weller::#-thinking";"weller::affectionate"
"samuel_weller::#-thinking";"weller::fine"
"samuel_weller::affectionate";"samuel_weller::fine"
"samuel_weller::affectionate";"weller::#-thinking"
"samuel_weller::affectionate";"weller::affectionate"
"samuel_weller::affectionate";"weller::fine"
"samuel_weller::fine";"weller::#-thinking"
"samuel_weller::fine";"weller::affectionate"
"samuel_weller::fine";"weller::fine"
"weller::#-thinking";"weller::affectionate"
"weller::#-thinking";"weller::fine"
"weller::affectionate";"weller::fine"
"pickwick::glad";"sam::glad"
"sam_weller::experienced";"sam_weller::little"
"sam_weller::experienced";"sam_weller::satisfied"
"sam_weller::little";"sam_weller::satisfied"
"stiggins::agreeable";"weller::agreeable"
"sam::young";"stiggins::young"
"sam::hard";"sam::old"
"sam::hard";"stiggins::hard"
"sam::hard";"stiggins::old"
"sam::hard";"weller::old"
"sam::old";"stiggins::hard"
"sam::old";"stiggins::old"
"sam::old";"weller::hard"
"stiggins::hard";"stiggins::old"
"stiggins::hard";"weller::hard"
"stiggins::hard";"weller::old"
"stiggins::old";"weller::hard"
"stiggins::old";"weller::old"
"weller::hard";"weller::old"
"sam::great";"sam::weak"
"sam::great";"stiggins::great"
"sam::great";"stiggins::weak"
"sam::weak";"stiggins::great"
"sam::weak";"stiggins::weak"
"stiggins::great";"stiggins::weak"
"sammy::glad";"weller::glad"
"sammy::glad";"wery::glad"
"weller::glad";"wery::glad"
"weller::good";"weller::young"
"sammy::handsome";"weller::handsome"
"sam::little";"samivel::little"
"samivel::little";"weller::little"
"stiggins::forward";"weller::forward"
"stiggins::kind";"walker::kind"
"stiggins::kind";"weller::kind"
"walker::kind";"weller::kind"
"markis::ashamed";"sam::ashamed"
"pison::#-hard";"sam::#-hard"
"pison::#-hard";"weller::#-hard"
"sam::#-hard";"weller::#-hard"
"pickwick::great";"winkle::great"
"tupman::great";"winkle::great"
"weller::little";"weller::old"
"sam_weller::loud";"snodgrass::loud"
"sam_weller::loud";"winkle::loud"
"pickwick::extraordinary";"pickwick::old"
"pickwick::extraordinary";"tupman::extraordinary"
"pickwick::extraordinary";"tupman::old"
"pickwick::extraordinary";"winkle::extraordinary"
"pickwick::extraordinary";"winkle::old"
"pickwick::old";"tupman::extraordinary"
"pickwick::old";"winkle::extraordinary"
"tupman::extraordinary";"tupman::old"
"tupman::extraordinary";"winkle::extraordinary"
"tupman::extraordinary";"winkle::old"
"tupman::old";"winkle::extraordinary"
"winkle::extraordinary";"winkle::old"
"dingley_dell::beautiful";"pickwick::beautiful"
"pickwick::fat";"pickwick::forward"
"pickwick::fat";"weller::fat"
"pickwick::fat";"weller::forward"
"pickwick::forward";"weller::fat"
"pickwick::forward";"weller::forward"
"weller::fat";"weller::forward"
"sam::cool";"sam::young"
"bella::faithful";"bella::happy"
"bella::faithful";"bella::important"
"bella::faithful";"bella::young"
"bella::faithful";"emily::faithful"
"bella::faithful";"emily::happy"
"bella::faithful";"emily::important"
"bella::faithful";"emily::young"
"bella::faithful";"wardle::faithful"
"bella::faithful";"wardle::happy"
"bella::faithful";"wardle::important"
"bella::faithful";"wardle::young"
"bella::happy";"bella::important"
"bella::happy";"bella::young"
"bella::happy";"emily::faithful"
"bella::happy";"emily::happy"
"bella::happy";"emily::important"
"bella::happy";"emily::young"
"bella::happy";"wardle::faithful"
"bella::happy";"wardle::happy"
"bella::happy";"wardle::important"
"bella::happy";"wardle::young"
"bella::important";"bella::young"
"bella::important";"emily::faithful"
"bella::important";"emily::happy"
"bella::important";"emily::important"
"bella::important";"emily::young"
"bella::important";"wardle::faithful"
"bella::important";"wardle::happy"
"bella::important";"wardle::important"
"bella::important";"wardle::young"
"bella::young";"emily::faithful"
"bella::young";"emily::happy"
"bella::young";"emily::important"
"bella::young";"emily::young"
"bella::young";"wardle::faithful"
"bella::young";"wardle::happy"
"bella::young";"wardle::important"
"bella::young";"wardle::young"
"emily::faithful";"emily::happy"
"emily::faithful";"emily::important"
"emily::faithful";"emily::young"
"emily::faithful";"wardle::faithful"
"emily::faithful";"wardle::happy"
"emily::faithful";"wardle::important"
"emily::faithful";"wardle::young"
"emily::happy";"emily::important"
"emily::happy";"emily::young"
"emily::happy";"wardle::faithful"
"emily::happy";"wardle::happy"
"emily::happy";"wardle::important"
"emily::happy";"wardle::young"
"emily::important";"emily::young"
"emily::important";"wardle::faithful"
"emily::important";"wardle::happy"
"emily::important";"wardle::important"
"emily::important";"wardle::young"
"emily::young";"wardle::faithful"
"emily::young";"wardle::happy"
"emily::young";"wardle::important"
"emily::young";"wardle::young"
"wardle::faithful";"wardle::happy"
"wardle::faithful";"wardle::important"
"wardle::faithful";"wardle::young"
"wardle::happy";"wardle::important"
"wardle::happy";"wardle::young"
"wardle::important";"wardle::young"
"emily::little";"emily::nice"
"emily::little";"emily::worthy"
"emily::little";"emily::young"
"emily::little";"snodgrass::little"
"emily::little";"snodgrass::nice"
"emily::little";"snodgrass::worthy"
"emily::little";"snodgrass::young"
"emily::little";"winkle::little"
"emily::little";"winkle::nice"
"emily::little";"winkle::worthy"
"emily::little";"winkle::young"
"emily::nice";"emily::worthy"
"emily::nice";"emily::young"
"emily::nice";"snodgrass::little"
"emily::nice";"snodgrass::nice"
"emily::nice";"snodgrass::worthy"
"emily::nice";"snodgrass::young"
"emily::nice";"winkle::little"
"emily::nice";"winkle::nice"
"emily::nice";"winkle::worthy"
"emily::nice";"winkle::young"
"emily::worthy";"emily::young"
"emily::worthy";"snodgrass::little"
"emily::worthy";"snodgrass::nice"
"emily::worthy";"snodgrass::worthy"
"emily::worthy";"snodgrass::young"
"emily::worthy";"winkle::little"
"emily::worthy";"winkle::nice"
"emily::worthy";"winkle::worthy"
"emily::worthy";"winkle::young"
"emily::young";"snodgrass::little"
"emily::young";"snodgrass::nice"
"emily::young";"snodgrass::worthy"
"emily::young";"snodgrass::young"
"emily::young";"winkle::little"
"emily::young";"winkle::nice"
"emily::young";"winkle::worthy"
"emily::young";"winkle::young"
"snodgrass::little";"snodgrass::nice"
"snodgrass::little";"snodgrass::worthy"
"snodgrass::little";"snodgrass::young"
"snodgrass::little";"winkle::nice"
"snodgrass::little";"winkle::worthy"
"snodgrass::little";"winkle::young"
"snodgrass::nice";"snodgrass::worthy"
"snodgrass::nice";"snodgrass::young"
"snodgrass::nice";"winkle::little"
"snodgrass::nice";"winkle::nice"
"snodgrass::nice";"winkle::worthy"
"snodgrass::nice";"winkle::young"
"snodgrass::worthy";"snodgrass::young"
"snodgrass::worthy";"winkle::little"
"snodgrass::worthy";"winkle::nice"
"snodgrass::worthy";"winkle::worthy"
"snodgrass::worthy";"winkle::young"
"snodgrass::young";"winkle::little"
"snodgrass::young";"winkle::nice"
"snodgrass::young";"winkle::worthy"
"snodgrass::young";"winkle::young"
"winkle::little";"winkle::nice"
"winkle::little";"winkle::worthy"
"winkle::little";"winkle::young"
"winkle::nice";"winkle::worthy"
"winkle::nice";"winkle::young"
"winkle::worthy";"winkle::young"
"bonaparte::old";"emma::old"
"bonaparte::old";"pickwick::old"
"bonaparte::old";"tupman::old"
"emma::old";"pickwick::old"
"emma::old";"tupman::old"
"bonaparte::great";"bonaparte::old"
"bonaparte::great";"emma::great"
"bonaparte::great";"emma::old"
"bonaparte::great";"pickwick::great"
"bonaparte::great";"pickwick::old"
"bonaparte::great";"tupman::great"
"bonaparte::great";"tupman::old"
"bonaparte::old";"emma::great"
"bonaparte::old";"pickwick::great"
"bonaparte::old";"tupman::great"
"emma::great";"emma::old"
"emma::great";"pickwick::great"
"emma::great";"pickwick::old"
"emma::great";"tupman::great"
"emma::great";"tupman::old"
"emma::old";"pickwick::great"
"emma::old";"tupman::great"
"pickwick::great";"tupman::old"
"pickwick::old";"tupman::great"
"trundle::little";"trundle::nervous"
"samuel_weller::popular";"samuel_weller::terrific"
"weller::fat";"weller::young"
"horner::fat";"horner::young"
"horner::fat";"joe::fat"
"horner::fat";"joe::young"
"horner::young";"joe::fat"
"horner::young";"joe::young"
"joe::fat";"joe::young"
"pickwick::fat";"pickwick::impressive"
"pickwick::fat";"pickwick::kind"
"pickwick::impressive";"pickwick::kind"
"pickwick::joyful";"pickwick::old"
"pickwick::joyful";"wardle::joyful"
"pickwick::joyful";"wardle::old"
"pickwick::old";"wardle::joyful"
"wardle::joyful";"wardle::old"
"lady_tollimglower::beautiful";"lady_tollimglower::loud"
"lady_tollimglower::beautiful";"lady_tollimglower::old"
"lady_tollimglower::beautiful";"lady_tollimglower::worthy"
"lady_tollimglower::beautiful";"lady_tollimglower::young"
"lady_tollimglower::beautiful";"pickwick::beautiful"
"lady_tollimglower::beautiful";"pickwick::loud"
"lady_tollimglower::beautiful";"pickwick::old"
"lady_tollimglower::beautiful";"pickwick::worthy"
"lady_tollimglower::beautiful";"pickwick::young"
"lady_tollimglower::loud";"lady_tollimglower::old"
"lady_tollimglower::loud";"lady_tollimglower::worthy"
"lady_tollimglower::loud";"lady_tollimglower::young"
"lady_tollimglower::loud";"pickwick::beautiful"
"lady_tollimglower::loud";"pickwick::loud"
"lady_tollimglower::loud";"pickwick::old"
"lady_tollimglower::loud";"pickwick::worthy"
"lady_tollimglower::loud";"pickwick::young"
"lady_tollimglower::old";"lady_tollimglower::worthy"
"lady_tollimglower::old";"lady_tollimglower::young"
"lady_tollimglower::old";"pickwick::beautiful"
"lady_tollimglower::old";"pickwick::loud"
"lady_tollimglower::old";"pickwick::old"
"lady_tollimglower::old";"pickwick::worthy"
"lady_tollimglower::old";"pickwick::young"
"lady_tollimglower::worthy";"lady_tollimglower::young"
"lady_tollimglower::worthy";"pickwick::beautiful"
"lady_tollimglower::worthy";"pickwick::loud"
"lady_tollimglower::worthy";"pickwick::old"
"lady_tollimglower::worthy";"pickwick::worthy"
"lady_tollimglower::worthy";"pickwick::young"
"lady_tollimglower::young";"pickwick::beautiful"
"lady_tollimglower::young";"pickwick::loud"
"lady_tollimglower::young";"pickwick::old"
"lady_tollimglower::young";"pickwick::worthy"
"lady_tollimglower::young";"pickwick::young"
"pickwick::beautiful";"pickwick::loud"
