"abstract" "accomplished" "accurate" "active" "adventurous" "affected" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bashful" "benevolent" "bitter" "bold" "bright" "brisk" "brutal" "buoyant" "calm" "capable" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "complicated" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "cool" "cordial" "courteous" "crafty" "cruel" "cunning" "curious" "dainty" "deep" "dependent" "determined" "devilish" "direct" "disdainful" "dissatisfied" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "energetic" "enthusiastic" "envious" "exact" "excessive" "excitable" "expressive" "extravagant" "faithful" "fastidious" "fearful" "feminine" "fervent" "fierce" "fiery" "firm" "flighty" "foolish" "friendly" "frugal" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "greedy" "gruff" "harsh" "hasty" "headlong" "heartless" "hearty" "honest" "humble" "humorous" "ignorant" "immovable" "impatient" "impetuous" "inconsiderate" "independent" "indifferent" "ingenious" "injudicious" "insolent" "intense" "intimate" "intricate" "irritable" "jealous" "juvenile" "kind" "kindly" "languid" "lazy" "literary" "live" "lively" "loud" "malicious" "manly" "maternal" "melodramatic" "merry" "mild" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "obliging" "original" "particular" "passionate" "patient" "peaceful" "peevish" "philosophical" "playful" "pleasant" "polite" "precise" "profound" "prompt" "proper" "proud" "prudent" "punctual" "quick" "quiet" "rash" "reasonable" "reckless" "religious" "respectful" "responsible" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "sentimental" "serious" "severe" "silent" "simple" "sincere" "slow" "sluggish" "smart" "solemn" "speedy" "spirited" "sprightly" "stable" "steady" "stern" "straightforward" "strict" "sullen" "suspicious" "talkative" "tender" "thorough" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmanly" "unvarying" "vague" "vain" "vigorous" "violent" "vivid" "warm" "wily" "worldly" "verbal" "wild" "wise" "zealous"
"dull" 0 1 0 3 0 1 2 2 3 7 0 2 0 0 2 1 9 0 1 0 0 1 1 2 2 6 0 2 0 1 1 1 9 1 2 0 1 0 1 2 0 1 0 0 0 2 5 2 0 7 0 1 1 1 0 1 3 0 4 2 2 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 2 0 0 0 0 2 6 0 1 0 0 3 0 0 0 3 1 3 0 1 1 4 0 0 0 2 1 2 0 1 1 1 0 2 0 5 0 2 2 0 0 1 7 0 0 0 0 1 0 0 0 3 1 1 2 2 1 0 1 9 2 1 0 0 1 0 6 1 0 4 0 2 1 0 1 2 6 1 0 0 0 1 0 1 0 2 0 0 2 0 1 1 1 7 1 0 2 2 2 2 0 2 0 1 2 3 1 1 2 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1 6 2 3 0 0 0 3 1 1
"eager" 0 0 2 0 1 0 1 0 1 4 1 1 0 0 3 0 2 0 0 0 0 0 3 0 0 3 0 4 0 0 0 1 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 1 4 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 3 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 2 2 0 0 0 1 1 0 6 0 1 1 0 1 0 0 1 2 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 3 0 0 2 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 3 0 2 0 0 0 0 1 0
"earnest" 0 0 0 1 0 0 0 1 1 2 0 0 0 0 3 0 3 0 0 0 0 0 2 1 0 4 1 1 1 0 2 0 5 0 1 0 0 1 2 4 1 0 1 0 0 1 2 1 0 1 0 0 1 0 0 0 3 2 2 0 0 1 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 1 1 1 1 1 0 0 5 0 1 1 0 0 1 3 0 1 2 1 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 7 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 3 0 0 0 2 4 0 1 3 1 0 0 1 0 0 0 0 2 2 1 0 2 6 1 0 1 0 0 0 1 1 2 0 1 1 2 0 2 1 4 2 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 1 2 0 1 1 2 0 1 0 1 1 1
"elegant" 1 3 0 1 0 0 1 1 2 0 0 0 0 0 0 1 4 1 0 0 1 0 1 0 0 2 0 3 0 0 1 2 4 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 3 4 2 4 0 0 1 1 1 0 0 1 1 2 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 1 1 1 2 2 1 1 4 2 0 1 0 0 0 0 1 3 0 2 0 1 2 0 2 1 1 0 0 1 0 2 0 0 0 2 1 1 1 0 0 2 0 3 1 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 4 1 2 2 1 0 0
"emphatic" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 2 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
"energetic" 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"enthusiastic" 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"envious" 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"exact" 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0
"excessive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0
"excitable" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 2 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0
"expressive" 1 0 0 0 0 2 1 2 3 2 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 4 0 0 0 1 1 0 2 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 2 1 0 0 0 1 3 1 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 5 0 1 0 1 3 0 0 1 0 0 0 2 2 1 1 1 1 1 0 0 1 2 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 2 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 1 1 0 1 0 0
"extravagant" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0
"faithful" 0 0 0 0 0 0 0 0 0 2 0 1 1 1 2 1 1 1 0 0 1 0 0 0 0 3 0 3 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 3 1 0 0 0 0 0 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 2 1 0 1 1 0 0 0 0 0 1 0 0 1 5 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 4 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 1 2 0 0 2 0 0 0 1 0 0 1 0 1 3 1 1 2 3 0 0 0 0 2 0 2 1 1 0 0 0 0 0 0 0 2 2 0 1 1 0 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 3 0 1 0 2 0 2
"fastidious" 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"fearful" 0 0 0 0 0 0 1 3 2 1 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 2 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 2 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0
"feminine" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"fervent" 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 2 0 1 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"fierce" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 2 0 1 0 1 3 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 2 0 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0
"fiery" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 0 2 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 3 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0
"firm" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 2 1 0 2 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0 0
"flighty" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"foolish" 0 0 0 0 0 1 0 3 0 7 0 3 1 1 1 0 1 0 0 0 0 1 2 1 0 5 0 0 1 1 0 2 3 0 1 1 1 3 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 2 1 1 2 0 0 0 2 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 4 1 0 0 0 0 0 0 2 2 1 1 2 1 0 0 1 6 0 1 0 2 0 1 1 2 0 0 1 0 3 0 0 0 3 1 1 0 1 2 2 0 0 1 0 1 0 1 0 3 1 4 0 0 5 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 0 3 0 3 1 1 0 0 0 1 0 0
"friendly" 1 1 0 0 0 1 0 1 2 4 0 1 0 0 0 0 2 0 0 1 1 0 1 1 0 3 2 2 0 0 0 1 2 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 3 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 1 1 2 0 1 2 2 0 0 1 0 0 0 1 1 0 1 0 1 0 0 1 0 2 2 0 1 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 2 0 1 1 0 1 0 1 1 0 0 0
"frugal" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"gallant" 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 2 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 4 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 3 1 1 0 0 0 0 2 1 1 1 2 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 3 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0
"generous" 0 0 0 0 0 0 1 1 0 2 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0
"genteel" 2 0 0 1 0 0 2 1 2 3 0 1 0 0 1 1 2 0 1 0 0 1 0 0 0 6 0 2 0 0 1 1 3 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 2 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 2 2 0 1 0 3 3 0 1 0 0 0 0 2 2 1 0 0 4 0 0 1 0 2 0 1 0 0 0 0 0 0 3 0 2 0 2 0 4 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 3 0 0
"gentle" 0 0 0 2 1 1 2 3 0 4 0 0 1 0 2 2 5 1 1 0 3 2 2 0 1 3 0 2 0 1 1 2 8 1 0 0 1 0 2 1 1 2 1 0 1 0 0 1 0 4 0 1 0 0 0 1 1 2 1 5 4 1 0 0 0 0 0 0 2 1 1 1 0 1 1 1 0 0 1 2 1 1 1 0 1 0 2 4 1 1 1 2 3 0 1 1 5 4 0 0 0 1 2 1 0 0 2 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 4 0 0 0 0 2 3 0 0 1 0 1 5 2 1 2 4 5 1 1 0 1 0 0 9 0 0 2 0 0 5 0 2 2 4 0 0 1 0 1 0 0 2 3 2 1 1 2 0 1 1 4 1 0 3 1 1 1 0 0 0 0 1 2 1 2 0 0 0 0 1 0 3 2 1 0 1 0 0 1 3 0 5 1 5 1 2 0 1 2 0
"gloomy" 0 1 0 1 2 0 3 1 4 1 0 1 0 0 0 0 2 0 1 0 0 0 2 2 1 2 0 0 0 0 1 1 7 1 1 0 0 1 0 1 0 2 1 0 1 0 0 2 0 2 0 0 0 0 0 2 1 6 0 0 2 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 4 2 1 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 3 0 0 1 1 0 1 4 0 0 0 0 2 0 0 0 0 1 2 4 3 1 0 1 5 1 1 0 0 0 0 2 0 0 2 1 0 1 0 1 1 3 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 4 0 0 1 1 0 0 0 0 0 1 0 3 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 5 1 2 0 1 0 2 1 0
