"accomplished" "accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "capable" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "determined" "different" "direct" "effective" "encouraged" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "greatest" "happier" "happy" "honest" "humble" "independent" "interesting" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "official" "original" "peaceful" "playful" "pleasant" "polite" "powerful" "productive" "professional" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "safe" "selfish" "smart" "special" "standing" "strong" "superior" "thoughtful" "threatening" "top" "united" "weak" "wealthy" "universal" "unpleasant" "wise" "worth" "sacred" "unprecedented"
"quiet" 0 2 3 1 4 4 3 0 1 0 1 1 2 1 2 2 1 2 1 1 1 4 1 0 1 1 0 2 2 1 1 2 0 0 3 1 1 0 5 2 0 1 9 2 0 0 0 0 0 2 2 0 0 0 2 1 3 1 0 1 0 4 0 2 0 0 0 0 1 0 2 1 1 2 0 3 1 0 10 0 1 3 2 0 4 2 0 2 2 1 1 0
"reasonable" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"rich" 0 1 1 0 4 2 0 0 0 0 1 1 1 2 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 1 0 3 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 3 0 0 0 1 1 1 0 1 1 0 0 2 0 0 0 0 3 0 1 0 1 0 0 0 0 0 0 0 0 0
"richest" 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"safe" 0 1 0 0 1 4 0 0 1 1 0 0 1 0 1 1 1 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 4 1 0 0 2 0 1 0 3 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 2 0 2 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 0 3 0 1
"selfish" 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"smart" 0 1 0 0 2 4 0 0 0 0 0 1 2 0 0 0 0 1 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 3 0 0 1 1 0 1 0 0 0 0 0 0 0
"special" 0 0 2 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 3 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0
"standing" 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"strong" 1 2 8 3 8 10 3 2 1 2 4 2 3 2 2 4 2 5 1 2 1 0 1 0 2 0 0 3 1 1 0 3 1 1 3 0 1 2 6 1 2 1 12 3 0 1 1 0 0 0 2 1 1 1 0 2 2 1 1 1 0 4 1 0 1 2 0 0 0 10 1 3 2 4 1 3 0 1 0 2 3 1 2 1 3 0 2 2 2 3 0 1
"superior" 0 0 2 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 1 0 0 0 0 1 1 0 0
"thoughtful" 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0
"threatening" 0 1 2 0 1 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0
"top" 0 1 3 0 1 3 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 1 1 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0
"united" 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0
"weak" 0 1 3 1 3 2 3 0 1 0 1 2 1 3 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 5 0 0 0 6 1 0 0 0 0 0 1 0 0 0 0 0 1 3 0 0 2 0 1 0 0 0 0 0 0 1 4 0 0 0 0 0 1 1 0 3 0 0 0 1 1 0 1 0 0 1 0 0 0
"wealthy" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"universal" 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"unpleasant" 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"wise" 0 0 1 0 0 3 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0 0 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 1 2 0 0 1 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 2 1 0 0 0 1 1 1 0 0 0 0 0 0
"worth" 0 0 1 1 0 4 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 2 1 0 1 0 0 0 0 0 0 2 1 0 0 1 0 0 0 2 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 3 0 0 1 0 3 1 1 1 1 0 0 0 0 0 0 0 0 0
"sacred" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unprecedented" 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
