"" "accomplished" "active" "affectionate" "afraid" "agreeable" "alone" "ambitious" "amusing" "angry" "anxious" "artificial" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "caring" "cautious" "certain" "charming" "cheap" "cheerful" "clever" "clumsy" "cold" "comfortable" "compassionate" "compatible" "conceited" "concerned" "confident" "confused" "consistent" "cool" "courteous" "critical" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "desirable" "determined" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "disrespectful" "distinguished" "disturbed" "eager" "educated" "embarrassed" "employed" "encouraged" "encouraging" "entertaining" "evil" "excellent" "excited" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fat" "fine" "firm" "foolish" "fortunate" "forward" "friendly" "generous" "gentle" "gifted" "giving" "glad" "good" "good-looking" "good-natured" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "helpless" "honest" "ignorant" "impatient" "important" "indecisive" "independent" "intelligent" "interested" "interesting" "involved" "irrational" "irritable" "jealous" "kind" "kind-hearted" "laughing" "liberal" "little" "lively" "lovely" "loving" "lucky" "mature" "mean" "modest" "natural" "neat" "negative" "neglected" "nervous" "nice" "noisy" "observant" "offensive" "old" "old-fashioned" "open" "original" "pathetic" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "popular" "positive" "powerful" "pretty" "private" "prompt" "proper" "prosperous" "proud" "quiet" "reasonable" "religious" "remarkable" "respectable" "respected" "responsible" "rich" "romantic" "rough" "rushed" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "short" "shy" "sincere" "slender" "social" "spoiled" "spontaneous" "strange" "strict" "strong" "stupid" "successful" "surprised" "suspicious" "sweet" "sympathetic" "tall" "thankful" "thin" "thinking" "thorough" "thoughtful" "thoughtless" "tired" "trusted" "trusting" "uncomfortable" "understanding" "unemployed" "unhappy" "unlucky" "unreasonable" "unusual" "upset" "useful" "valuable" "violent" "warm" "weak" "wealthy" "well" "wise" "wonderful" "worthy" "young" "smart" "well-known" "youthful"
"daring" 0 1 0 1 2 0 0 1 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 2 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0
"decent" 0 0 1 1 2 1 0 1 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 1 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 5 0 0 0 1 1 0 0 0 0 2 5 0 0 0 0 3 2 3 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 6 0 1 0 0 1 3 0 1 0 0 0 0 1 0 2 0 2 0 0 0 0 0 2 0 0 2 1 1 2 0 0 0 4 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 1 0 3 0 1 0 0 0 0 0 1 1 0 0 2 1 0 0 0 1 1 2 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 1 1 0 0 5 0 1 1 4 0 0 0
"delighted" 2 0 0 3 6 3 1 0 0 3 1 1 1 1 0 1 1 3 1 0 1 1 1 0 0 2 0 1 0 0 0 1 2 0 1 0 0 0 2 1 0 1 0 0 0 0 2 0 0 1 0 1 0 1 0 2 0 0 1 0 0 0 0 1 0 0 1 0 1 1 2 1 1 2 0 0 3 3 0 0 1 2 0 0 1 0 6 0 0 0 5 2 0 0 0 5 5 10 0 0 0 0 10 5 7 2 1 0 0 0 3 1 0 0 2 0 1 0 1 1 1 4 0 3 1 14 1 0 0 0 0 7 1 3 0 0 0 1 1 0 1 0 7 0 4 0 0 0 1 0 3 3 1 0 5 1 0 0 2 1 0 2 1 1 0 0 0 0 3 0 0 1 0 0 1 1 2 1 1 3 0 2 8 0 0 0 0 0 1 1 1 3 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 3 0 0 0 1 0 1 3 0 1 2 1 0 12 0 0 1 7 0 0 1
"delightful" 0 0 0 0 3 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 4 1 1 1 0 2 0 4 1 0 0 0 3 1 2 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 4 0 0 0 4 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 2 2 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 4 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 4 0 0 0 4 0 0 0
"dependent" 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0
"desirable" 0 2 0 3 5 1 0 0 0 3 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 2 1 0 1 2 0 3 2 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 2 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 3 0 0 0 2 0 0 0 0 0 3 0 0 0 0 2 0 0 1 0 3 9 0 0 0 1 6 2 5 2 0 0 0 1 1 1 0 0 0 0 0 1 0 0 2 1 0 0 1 10 1 2 0 1 1 1 0 3 1 0 0 0 2 0 1 1 2 0 4 0 0 0 2 0 1 1 0 3 4 0 0 0 4 0 0 4 0 0 0 2 0 0 1 0 2 3 0 1 0 1 1 1 0 3 0 0 4 0 1 0 0 0 0 0 1 5 0 1 4 2 1 0 0 1 1 5 0 0 0 0 0 0 0 4 0 0 1 0 0 0 2 2 1 2 0 1 6 0 0 0 1 1 0 0
"determined" 0 2 1 2 8 4 0 0 3 4 1 3 1 0 0 0 0 8 2 0 0 0 2 0 2 0 0 1 2 1 0 4 0 1 6 1 0 5 4 0 1 0 0 0 1 1 0 3 0 0 1 2 2 2 1 2 0 2 0 0 1 0 0 1 0 0 3 0 3 0 2 0 2 1 0 2 3 2 0 1 1 4 0 0 0 0 6 0 1 0 8 1 2 2 1 7 8 17 1 1 0 2 15 1 15 1 1 1 0 0 1 0 0 1 0 1 4 1 0 0 1 6 0 2 0 20 2 1 0 0 0 2 0 3 1 0 1 1 2 1 1 0 7 0 2 0 0 2 2 0 2 5 1 2 7 0 1 2 6 1 1 7 1 0 4 3 0 2 1 0 0 1 0 1 0 0 6 1 1 3 0 3 14 1 1 0 0 1 0 1 2 6 0 1 0 0 2 0 0 0 0 4 0 1 1 1 1 0 1 5 0 3 0 0 0 0 2 1 0 3 0 0 15 1 1 1 11 0 0 0
"devoted" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 2 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"difficult" 0 1 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 2 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 4 0 0 0 2 0 0 0 2 1 1 0 0 1 0 0 1 2 0 2 0 0 0 1 0 1 1 0 0 1 0 0 1 4 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 1 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 1 0 0 2 0 0 0
"direct" 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
"disabled" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"disappointed" 1 0 0 0 3 0 0 0 0 3 0 1 0 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 2 0 2 0 2 1 0 0 1 0 0 4 0 0 0 0 4 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 5 1 0 0 0 0 1 2 3 0 0 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 3 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 1 0 1 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 4 0 0 0
"disgusting" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"disrespectful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"distinguished" 1 1 0 1 1 1 0 0 0 3 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 3 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2 1 0 0 3 1 0 2 0 1 2 4 1 1 0 1 3 1 4 0 1 0 0 0 0 1 1 0 0 1 2 1 0 0 0 1 0 0 0 5 1 0 0 0 0 2 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 3 0 0 2 0 1 2 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 4 1 0 0 3 0 0 0
"disturbed" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0
"eager" 0 1 1 2 4 0 0 0 0 2 1 1 0 0 0 0 0 3 1 0 0 0 1 0 0 3 1 0 2 0 2 0 0 0 2 1 0 2 2 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 2 0 0 0 2 1 0 0 0 2 3 8 0 0 0 0 5 0 5 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 6 1 0 0 0 0 2 0 2 0 1 0 0 2 0 0 0 4 0 5 0 0 0 0 0 2 2 0 0 3 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0 0 0 0 1 0 0 4 1 1 1 0 2 5 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 1 0 0 5 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 0 5 0 0 0
"educated" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0
"embarrassed" 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 2 1 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 2 1 0 0 1 0 1 0 1 1 0 1 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 4 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 1 1 0 0 0
"employed" 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 3 1 0 0 0 0 2 0 0 0 1 0 0 1 0 0 1 3 0 0 0 0 4 1 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 5 0 0 0 1 0 1 0 2 0 1 0 0 1 0 0 0 2 0 3 0 0 0 0 0 2 1 1 0 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 0 0 0 3 0 0 0
"encouraged" 0 0 0 1 2 1 0 0 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 3 0 0 0 0 3 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 0 2 1 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 1 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0
"encouraging" 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 3 0 0 1 1 0 0 0
"entertaining" 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 2 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 2 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"evil" 0 0 0 1 4 3 0 0 0 2 1 1 2 0 0 0 1 2 2 0 0 0 0 1 0 0 2 0 1 0 2 3 0 0 3 1 0 1 1 0 1 0 1 1 0 0 2 0 0 1 0 2 1 1 0 0 1 1 2 1 1 0 0 2 0 0 2 0 1 0 0 2 1 1 0 0 2 0 0 0 3 3 0 0 0 0 3 1 0 0 4 0 0 3 0 0 2 11 0 1 0 2 8 2 8 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 1 3 0 0 0 9 0 2 0 1 1 2 2 3 0 1 0 0 1 1 1 0 5 0 2 1 0 1 0 1 0 1 1 1 2 0 0 2 2 0 0 2 1 0 0 1 0 0 0 0 0 3 0 0 0 0 4 1 1 4 0 3 3 0 1 0 0 0 0 0 0 4 0 0 2 2 0 0 0 3 2 2 0 0 0 1 0 0 1 4 0 1 0 0 0 0 2 1 1 4 1 0 6 1 0 0 4 0 0 0
"excellent" 1 2 0 4 5 5 1 1 0 1 1 1 1 0 1 1 0 4 2 0 0 1 1 0 0 0 2 3 1 0 2 3 0 0 1 2 0 0 3 0 0 1 2 0 0 2 1 1 1 1 1 1 0 1 3 1 0 3 3 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 2 0 2 0 0 2 4 0 1 1 1 7 0 0 0 1 0 0 2 0 3 9 17 0 0 1 2 12 4 8 3 0 0 1 0 0 1 0 1 0 0 2 1 0 0 2 5 0 1 2 17 1 3 0 2 1 3 0 2 2 0 1 0 3 0 2 1 8 0 4 0 0 0 2 0 4 4 4 1 5 0 0 0 7 3 0 2 0 1 4 2 1 0 4 1 1 2 1 1 0 1 1 1 1 4 0 4 5 1 1 1 0 0 0 0 3 7 0 0 3 1 1 0 1 2 1 5 0 0 0 2 1 0 0 5 0 1 0 1 0 0 1 2 1 5 0 1 14 0 1 1 9 0 0 1
"excited" 2 0 0 0 3 0 0 0 1 2 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 2 0 0 0 0 1 0 0 1 0 1 1 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 3 0 0 0 4 1 1 0 0 1 1 5 0 0 0 0 4 1 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 1 0 7 1 1 0 0 0 2 1 2 0 0 0 0 1 0 0 0 4 0 4 0 0 0 0 0 4 1 2 0 5 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 2 0 1 4 0 0 0 0 0 0 1 1 2 0 0 2 0 1 0 2 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 4 0 1 0 5 0 0 0
"experienced" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
