"richard::considerable";"richard::independence"
"bath::modesty";"tilney::modesty"
"catherine::constant";"james::constant"
"mrs_hughes::determination";"mrs_hughes::firmer"
"mrs_hughes::determination";"mrs_hughes::just"
"mrs_hughes::determination";"tilney::determination"
"mrs_hughes::determination";"tilney::firmer"
"mrs_hughes::determination";"tilney::just"
"mrs_hughes::firmer";"mrs_hughes::just"
"mrs_hughes::firmer";"tilney::determination"
"mrs_hughes::firmer";"tilney::firmer"
"mrs_hughes::firmer";"tilney::just"
"mrs_hughes::just";"tilney::determination"
"mrs_hughes::just";"tilney::firmer"
"mrs_hughes::just";"tilney::just"
"tilney::determination";"tilney::firmer"
"tilney::determination";"tilney::just"
"tilney::firmer";"tilney::just"
"catherine::#-justified";"tilney::#-justified"
"thorpe::anxious";"tilney::anxious"
"catherine::#-frightened";"isabella::#-frightened"
"eleanor_tilney::sparkling";"henry_tilney::sparkling"
"eleanor_tilney::sparkling";"tilney::sparkling"
"henry_tilney::sparkling";"tilney::sparkling"
"john_thorpe::narrowly";"tilney::narrowly"
"tilney::gentleman";"tilney::just"
"catherine::question";"tilney::question"
"catherine::approach";"mrs_allen::approach"
"john_thorpe::quick";"morland::quick"
"isabella::fearful";"tilney::fearful"
"catherine::kind";"catherine::pleasure"
"eleanor_tilney::giving";"henry_tilney::giving"
"eleanor_tilney::companion";"henry_tilney::companion"
"eleanor_tilney::companion";"thorpe::companion"
"henry_tilney::companion";"thorpe::companion"
"thorpe::impatiently";"tilney::impatiently"
"eleanor_tilney::brisker";"henry_tilney::brisker"
"eleanor_tilney::brisker";"laura_place::brisker"
"eleanor_tilney::brisker";"thorpe::brisker"
"henry_tilney::brisker";"laura_place::brisker"
"henry_tilney::brisker";"thorpe::brisker"
"laura_place::brisker";"thorpe::brisker"
"catherine::reproaches";"thorpe::reproaches"
"morland::conversation";"thorpe::conversation"
"catherine::loud";"catherine::miserly"
"catherine::loud";"catherine::understand"
"catherine::loud";"thorpe::miserly"
"catherine::loud";"thorpe::understand"
"catherine::miserly";"catherine::understand"
"catherine::miserly";"thorpe::loud"
"catherine::miserly";"thorpe::miserly"
"catherine::miserly";"thorpe::understand"
"catherine::understand";"thorpe::loud"
"catherine::understand";"thorpe::miserly"
"catherine::understand";"thorpe::understand"
"thorpe::loud";"thorpe::miserly"
"thorpe::loud";"thorpe::understand"
"thorpe::miserly";"thorpe::understand"
"catherine::quiet";"clifton::quiet"
"catherine::quiet";"isabella::quiet"
"catherine::quiet";"morland::quiet"
"clifton::quiet";"isabella::quiet"
"clifton::quiet";"morland::quiet"
"isabella::quiet";"morland::quiet"
"catherine::tenderness";"isabella::tenderness"
"catherine::#-dull";"isabella::#-dull"
"isabella::directed";"isabella::eager"
"catherine::gentleman";"edgar::gentleman"
"eleanor_tilney::pleasure";"henry_tilney::pleasure"
"eleanor_tilney::pleasure";"isabella::pleasure"
"henry_tilney::pleasure";"isabella::pleasure"
"mrs_allen::calm";"mrs_allen::politeness"
"tilney::calmness";"tilney::wild"
"catherine::confidence";"tilney::confidence"
"catherine::agreeable";"catherine::contented"
"john_thorpe::conversation";"tilney::conversation"
"catherine::gallantry";"tilney::gallantry"
"catherine::active--looks";"tilney::active--looks"
"catherine::gentleman-like";"catherine::lived”"
"catherine::gentleman-like";"tilney::gentleman-like"
"catherine::gentleman-like";"tilney::lived”"
"catherine::lived”";"tilney::gentleman-like"
"catherine::lived”";"tilney::lived”"
"tilney::gentleman-like";"tilney::lived”"
"catherine::determined";"thorpe::determined"
"catherine::acquiescence";"isabella::acquiescence"
"clifton::eager";"isabella::eager"
"clifton::eager";"john_thorpe::eager"
"isabella::eager";"john_thorpe::eager"
"catherine::excessively!";"catherine::jealous"
"isabella::selfish";"isabella::ungenerous"
"catherine::cold";"isabella::cold"
"catherine::reproaches";"isabella::reproaches"
"catherine::steady";"isabella::steady"
"catherine::feelingly";"james::feelingly"
"eleanor_tilney::vain";"henry_tilney::vain"
"eleanor_tilney::vain";"thorpe::vain"
"henry_tilney::vain";"thorpe::vain"
"thorpe::obstinate";"thorpe::proper"
"eleanor_tilney::just";"henry_tilney::just"
"eleanor_tilney::just";"tilney::just"
"henry_tilney::just";"tilney::just"
"miss_tilney::anxious";"miss_tilney::civility"
"miss_tilney::anxious";"thorpe::anxious"
"miss_tilney::anxious";"thorpe::civility"
"miss_tilney::civility";"thorpe::anxious"
"miss_tilney::civility";"thorpe::civility"
"thorpe::anxious";"thorpe::civility"
"allen::just";"thorpe::just"
"allen::considered";"allen::kind"
"allen::considered";"allen::proper"
"allen::considered";"catherine::considered"
"allen::considered";"catherine::kind"
"allen::considered";"catherine::proper"
"allen::considered";"clifton::considered"
"allen::considered";"clifton::kind"
"allen::considered";"clifton::proper"
"allen::considered";"isabella::considered"
"allen::considered";"isabella::kind"
"allen::considered";"isabella::proper"
"allen::considered";"thorpe::considered"
"allen::considered";"thorpe::kind"
"allen::considered";"thorpe::proper"
"allen::kind";"allen::proper"
"allen::kind";"catherine::considered"
"allen::kind";"catherine::kind"
"allen::kind";"catherine::proper"
"allen::kind";"clifton::considered"
"allen::kind";"clifton::kind"
"allen::kind";"clifton::proper"
"allen::kind";"isabella::considered"
"allen::kind";"isabella::kind"
"allen::kind";"isabella::proper"
"allen::kind";"thorpe::considered"
"allen::kind";"thorpe::kind"
"allen::kind";"thorpe::proper"
"allen::proper";"catherine::considered"
"allen::proper";"catherine::kind"
"allen::proper";"catherine::proper"
"allen::proper";"clifton::considered"
"allen::proper";"clifton::kind"
"allen::proper";"clifton::proper"
"allen::proper";"isabella::considered"
"allen::proper";"isabella::kind"
"allen::proper";"isabella::proper"
"allen::proper";"thorpe::considered"
"allen::proper";"thorpe::kind"
"allen::proper";"thorpe::proper"
"catherine::considered";"catherine::kind"
"catherine::considered";"catherine::proper"
"catherine::considered";"clifton::considered"
"catherine::considered";"clifton::kind"
"catherine::considered";"clifton::proper"
"catherine::considered";"isabella::considered"
"catherine::considered";"isabella::kind"
"catherine::considered";"isabella::proper"
"catherine::considered";"thorpe::considered"
"catherine::considered";"thorpe::kind"
"catherine::considered";"thorpe::proper"
"catherine::kind";"catherine::proper"
"catherine::kind";"clifton::considered"
"catherine::kind";"clifton::kind"
"catherine::kind";"clifton::proper"
"catherine::kind";"isabella::considered"
"catherine::kind";"isabella::kind"
"catherine::kind";"isabella::proper"
"catherine::kind";"thorpe::considered"
"catherine::kind";"thorpe::kind"
"catherine::kind";"thorpe::proper"
"catherine::proper";"clifton::considered"
"catherine::proper";"clifton::kind"
"catherine::proper";"clifton::proper"
"catherine::proper";"isabella::considered"
"catherine::proper";"isabella::kind"
"catherine::proper";"isabella::proper"
"catherine::proper";"thorpe::considered"
"catherine::proper";"thorpe::kind"
"catherine::proper";"thorpe::proper"
"clifton::considered";"clifton::kind"
"clifton::considered";"clifton::proper"
"clifton::considered";"isabella::considered"
"clifton::considered";"isabella::kind"
"clifton::considered";"isabella::proper"
"clifton::considered";"thorpe::considered"
"clifton::considered";"thorpe::kind"
"clifton::considered";"thorpe::proper"
"clifton::kind";"clifton::proper"
"clifton::kind";"isabella::considered"
"clifton::kind";"isabella::kind"
"clifton::kind";"isabella::proper"
"clifton::kind";"thorpe::considered"
"clifton::kind";"thorpe::kind"
"clifton::kind";"thorpe::proper"
"clifton::proper";"isabella::considered"
"clifton::proper";"isabella::kind"
"clifton::proper";"isabella::proper"
"clifton::proper";"thorpe::considered"
"clifton::proper";"thorpe::kind"
"clifton::proper";"thorpe::proper"
"isabella::considered";"isabella::kind"
"isabella::considered";"isabella::proper"
"isabella::considered";"thorpe::considered"
"isabella::considered";"thorpe::kind"
"isabella::considered";"thorpe::proper"
"isabella::kind";"isabella::proper"
"isabella::kind";"thorpe::considered"
"isabella::kind";"thorpe::kind"
"isabella::kind";"thorpe::proper"
"isabella::proper";"thorpe::considered"
"isabella::proper";"thorpe::kind"
"isabella::proper";"thorpe::proper"
"thorpe::considered";"thorpe::kind"
"thorpe::considered";"thorpe::proper"
"thorpe::kind";"thorpe::proper"
"eleanor_tilney::impertinent";"henry_tilney::impertinent"
"henry::impertinent";"tilney::impertinent"
"henry::civilized";"henry::mature"
"catherine::vain--or";"catherine::warm"
"catherine::vain--or";"mrs_radcliffe::vain--or"
"catherine::vain--or";"mrs_radcliffe::warm"
"catherine::warm";"mrs_radcliffe::vain--or"
"catherine::warm";"mrs_radcliffe::warm"
"mrs_radcliffe::vain--or";"mrs_radcliffe::warm"
"henry::fearful";"henry::progress"
"catherine::#-understand";"catherine::just"
"catherine::#-understand";"henry_tilney::#-understand"
"catherine::#-understand";"henry_tilney::just"
"catherine::just";"henry_tilney::#-understand"
"catherine::just";"henry_tilney::just"
"henry_tilney::#-understand";"henry_tilney::just"
"catherine::pleasure";"catherine::respectful"
"catherine::pleasure";"mrs_allen::pleasure"
"catherine::pleasure";"mrs_allen::respectful"
"catherine::pleasure";"tilney::pleasure"
"catherine::pleasure";"tilney::respectful"
"catherine::respectful";"mrs_allen::pleasure"
"catherine::respectful";"mrs_allen::respectful"
"catherine::respectful";"tilney::pleasure"
"catherine::respectful";"tilney::respectful"
"mrs_allen::pleasure";"mrs_allen::respectful"
"mrs_allen::pleasure";"tilney::pleasure"
"mrs_allen::pleasure";"tilney::respectful"
"mrs_allen::respectful";"tilney::pleasure"
"mrs_allen::respectful";"tilney::respectful"
"tilney::pleasure";"tilney::respectful"
"anne::pleasant";"catherine::pleasant"
"anne::pleasant";"emily::pleasant"
"anne::pleasant";"isabella::pleasant"
"anne::pleasant";"james::pleasant"
"catherine::pleasant";"emily::pleasant"
"catherine::pleasant";"isabella::pleasant"
"catherine::pleasant";"james::pleasant"
"emily::pleasant";"isabella::pleasant"
"emily::pleasant";"james::pleasant"
"isabella::pleasant";"james::pleasant"
"catherine::#-pleasure";"maria::#-pleasure"
"james_morland::directly";"james_morland::information"
"anne::intelligence";"anne::tender"
"anne::intelligence";"maria::intelligence"
"anne::intelligence";"maria::tender"
"anne::tender";"maria::intelligence"
"anne::tender";"maria::tender"
"maria::intelligence";"maria::tender"
"catherine::penetration";"isabella::penetration"
"catherine::penetration";"maria::penetration"
"isabella::penetration";"maria::penetration"
"catherine::natural";"catherine::understanding"
"isabella::affection";"isabella::anxious"
"catherine::affectionate";"catherine::consider"
"catherine::affectionate";"catherine::penetration"
"catherine::affectionate";"isabella::affectionate"
"catherine::affectionate";"isabella::consider"
"catherine::affectionate";"isabella::penetration"
"catherine::consider";"catherine::penetration"
"catherine::consider";"isabella::affectionate"
"catherine::consider";"isabella::consider"
"catherine::consider";"isabella::penetration"
"catherine::penetration";"isabella::affectionate"
"catherine::penetration";"isabella::consider"
"isabella::affectionate";"isabella::consider"
"isabella::affectionate";"isabella::penetration"
"isabella::consider";"isabella::penetration"
"isabella::exactly";"morland::exactly"
"catherine::reasonable";"isabella::reasonable"
"belle::clever";"morland::clever"
"henry::confidence";"henry::kindness"
"henry::confidence";"tilney::confidence"
"henry::confidence";"tilney::kindness"
"henry::kindness";"tilney::confidence"
"henry::kindness";"tilney::kindness"
"tilney::confidence";"tilney::kindness"
"catherine::dissatisfaction";"tilney::dissatisfaction"
"catherine::cruel";"thorpe::cruel"
"catherine::pleasantly";"isabella::pleasantly"
"morland::anxiously";"morland::gentle"
"morland::anxiously";"mrs_thorpe::anxiously"
"morland::anxiously";"mrs_thorpe::gentle"
"morland::gentle";"mrs_thorpe::anxiously"
"morland::gentle";"mrs_thorpe::gentle"
"mrs_thorpe::anxiously";"mrs_thorpe::gentle"
"isabella::#-consider";"isabella::moderate"
"allen::question";"mrs_allen::question"
"catherine::question";"mrs_allen::question"
"eleanor_tilney::determined";"henry_tilney::determined"
"catherine::pleasure";"henry_tilney::pleasure"
"catherine::sincere";"tilney::sincere"
"catherine::civility";"tilney::civility"
"mamma::acceptance";"mamma::eagerly"
"tilney::civilities";"tilney::earnest"
"tilney::civilities";"tilney::gentle"
"tilney::earnest";"tilney::gentle"
"eleanor_tilney::active";"eleanor_tilney::assured"
"eleanor_tilney::active";"eleanor_tilney::eager"
"eleanor_tilney::active";"henry_tilney::active"
"eleanor_tilney::active";"henry_tilney::assured"
"eleanor_tilney::active";"henry_tilney::eager"
"eleanor_tilney::active";"tilney::active"
"eleanor_tilney::active";"tilney::assured"
"eleanor_tilney::active";"tilney::eager"
"eleanor_tilney::assured";"eleanor_tilney::eager"
"eleanor_tilney::assured";"henry_tilney::active"
"eleanor_tilney::assured";"henry_tilney::assured"
"eleanor_tilney::assured";"henry_tilney::eager"
"eleanor_tilney::assured";"tilney::active"
"eleanor_tilney::assured";"tilney::assured"
"eleanor_tilney::assured";"tilney::eager"
"eleanor_tilney::eager";"henry_tilney::active"
"eleanor_tilney::eager";"henry_tilney::assured"
"eleanor_tilney::eager";"henry_tilney::eager"
"eleanor_tilney::eager";"tilney::active"
"eleanor_tilney::eager";"tilney::assured"
"eleanor_tilney::eager";"tilney::eager"
"henry_tilney::active";"henry_tilney::assured"
"henry_tilney::active";"henry_tilney::eager"
"henry_tilney::active";"tilney::active"
"henry_tilney::active";"tilney::assured"
"henry_tilney::active";"tilney::eager"
"henry_tilney::assured";"henry_tilney::eager"
"henry_tilney::assured";"tilney::active"
"henry_tilney::assured";"tilney::assured"
"henry_tilney::assured";"tilney::eager"
"henry_tilney::eager";"tilney::active"
"henry_tilney::eager";"tilney::assured"
"henry_tilney::eager";"tilney::eager"
"tilney::active";"tilney::assured"
"tilney::active";"tilney::eager"
"tilney::assured";"tilney::eager"
"catherine::eager";"catherine::opportunity"
"catherine::eager";"isabella::eager"
"catherine::eager";"isabella::opportunity"
"catherine::eager";"james::eager"
"catherine::eager";"james::opportunity"
"catherine::opportunity";"isabella::eager"
"catherine::opportunity";"isabella::opportunity"
"catherine::opportunity";"james::eager"
"catherine::opportunity";"james::opportunity"
"isabella::eager";"isabella::opportunity"
"isabella::eager";"james::eager"
"isabella::eager";"james::opportunity"
"isabella::opportunity";"james::eager"
"isabella::opportunity";"james::opportunity"
"james::eager";"james::opportunity"
"catherine::earnestness";"thorpe::earnestness"
"catherine::just";"thorpe::just"
"catherine::affection";"catherine::determined"
"catherine::affection";"john::affection"
"catherine::affection";"john::determined"
"catherine::determined";"john::affection"
"catherine::determined";"john::determined"
"john::affection";"john::determined"
"catherine::earnestly";"isabella::earnestly"
"catherine::earnestly";"tilney::earnestly"
"isabella::earnestly";"tilney::earnestly"
"catherine::approached";"isabella::approached"
"catherine::approached";"tilney::approached"
"isabella::approached";"tilney::approached"
"isabella::jealous";"mrs_allen::jealous"
"catherine::just";"catherine::stubborn"
"catherine::just";"isabella::just"
"catherine::just";"isabella::stubborn"
"catherine::just";"mrs_allen::stubborn"
"catherine::just";"tilney::just"
"catherine::just";"tilney::stubborn"
"catherine::stubborn";"isabella::just"
"catherine::stubborn";"isabella::stubborn"
"catherine::stubborn";"mrs_allen::just"
"catherine::stubborn";"mrs_allen::stubborn"
"catherine::stubborn";"tilney::just"
"catherine::stubborn";"tilney::stubborn"
"isabella::just";"isabella::stubborn"
"isabella::just";"mrs_allen::just"
"isabella::just";"mrs_allen::stubborn"
"isabella::just";"tilney::just"
"isabella::just";"tilney::stubborn"
"isabella::stubborn";"mrs_allen::just"
"isabella::stubborn";"mrs_allen::stubborn"
"isabella::stubborn";"tilney::just"
"isabella::stubborn";"tilney::stubborn"
"mrs_allen::just";"mrs_allen::stubborn"
"mrs_allen::just";"tilney::just"
"mrs_allen::just";"tilney::stubborn"
"mrs_allen::stubborn";"tilney::just"
"mrs_allen::stubborn";"tilney::stubborn"
"tilney::just";"tilney::stubborn"
"isabella::certain";"james::certain"
"isabella::certain";"tilney::certain"
"james::certain";"tilney::certain"
"isabella::conversation";"james::conversation"
"isabella::conversation";"tilney::conversation"
"james::conversation";"tilney::conversation"
"catherine::thoughtlessness";"isabella::thoughtlessness"
"frederick::understand";"james::understand"
"catherine::consideration";"catherine::lively"
"catherine::consideration";"catherine::thoughtless"
"catherine::lively";"catherine::thoughtless"
"henry::amiable";"morland::amiable"
"thorpe::affection";"tilney::affection"
"thorpe::constant";"thorpe::unsolicited"
"thorpe::constant";"tilney::constant"
"thorpe::constant";"tilney::unsolicited"
"thorpe::unsolicited";"tilney::constant"
"thorpe::unsolicited";"tilney::unsolicited"
"tilney::constant";"tilney::unsolicited"
"isabella::placid";"james::placid"
"catherine::affection";"catherine::instructions"
"catherine::affection";"catherine::judicious"
"catherine::affection";"catherine::tenderness"
"catherine::affection";"henry::affection"
"catherine::affection";"henry::instructions"
"catherine::affection";"henry::judicious"
"catherine::affection";"henry::tenderness"
"catherine::instructions";"catherine::judicious"
"catherine::instructions";"catherine::tenderness"
"catherine::instructions";"henry::affection"
"catherine::instructions";"henry::instructions"
"catherine::instructions";"henry::judicious"
"catherine::instructions";"henry::tenderness"
"catherine::judicious";"catherine::tenderness"
"catherine::judicious";"henry::affection"
"catherine::judicious";"henry::instructions"
"catherine::judicious";"henry::judicious"
"catherine::judicious";"henry::tenderness"
"catherine::tenderness";"henry::affection"
"catherine::tenderness";"henry::instructions"
"catherine::tenderness";"henry::judicious"
"catherine::tenderness";"henry::tenderness"
"henry::affection";"henry::instructions"
"henry::affection";"henry::judicious"
"henry::affection";"henry::tenderness"
"henry::instructions";"henry::judicious"
"henry::instructions";"henry::tenderness"
"henry::judicious";"henry::tenderness"
"allen::exactly";"allen::fearful"
"allen::exactly";"allen::kindest"
"allen::fearful";"allen::kindest"
"henry::unpleasant";"tilney::unpleasant"
"catherine::#-restraint";"tilney::#-restraint"
"catherine::agreeable";"catherine::impatience"
"catherine::agreeable";"tilney::impatience"
"catherine::impatience";"tilney::agreeable"
"catherine::impatience";"tilney::impatience"
"tilney::agreeable";"tilney::impatience"
"allen::business";"henry::business"
"allen::business";"tilney::business"
"henry::business";"tilney::business"
"henry::gentleman-coachman";"henry::quietly--without"
"dorothy::formally";"dorothy::gloomy"
"dorothy::communication";"dorothy::understand"
"henry::solemnity";"matilda::solemnity"
"tilney::conversation";"tilney::impatience"
"tilney::conversation";"tilney::solemn"
"tilney::impatience";"tilney::solemn"
"henry::solemn";"henry::suspicion"
"catherine::anxious";"tilney::anxious"
"catherine::anxious";"catherine::penetrate"
"catherine::anxious";"morland::anxious"
"catherine::anxious";"morland::penetrate"
"catherine::anxious";"tilney::penetrate"
"catherine::penetrate";"morland::anxious"
"catherine::penetrate";"morland::penetrate"
"catherine::penetrate";"tilney::anxious"
"catherine::penetrate";"tilney::penetrate"
"morland::anxious";"morland::penetrate"
"morland::anxious";"tilney::anxious"
"morland::anxious";"tilney::penetrate"
"morland::penetrate";"tilney::anxious"
"morland::penetrate";"tilney::penetrate"
"tilney::anxious";"tilney::penetrate"
"catherine::impatience";"morland::impatience"
"morland::impatience";"tilney::impatience"
"catherine::possession!";"catherine::properly"
"catherine::possession!";"morland::possession!"
"catherine::possession!";"morland::properly"
"catherine::possession!";"tilney::possession!"
"catherine::possession!";"tilney::properly"
"catherine::properly";"morland::possession!"
"catherine::properly";"morland::properly"
"catherine::properly";"tilney::possession!"
"catherine::properly";"tilney::properly"
"morland::possession!";"morland::properly"
"morland::possession!";"tilney::possession!"
"morland::possession!";"tilney::properly"
"morland::properly";"tilney::possession!"
"morland::properly";"tilney::properly"
"tilney::possession!";"tilney::properly"
"catherine::curious";"tilney::curious"
"catherine::violent";"catherine::wise"
"catherine::complacent";"catherine::foolishly"
"catherine::complacent";"catherine::humble"
"catherine::complacent";"catherine::politeness"
"catherine::complacent";"catherine::simpleton"
"catherine::foolishly";"catherine::humble"
"catherine::foolishly";"catherine::politeness"
"catherine::foolishly";"catherine::simpleton"
"catherine::humble";"catherine::politeness"
"catherine::humble";"catherine::simpleton"
"catherine::politeness";"catherine::simpleton"
"allen::exactly";"allen::rational"
"tilney::reflections";"tilney::unpleasant"
"henry::business";"henry::certainly"
"frederick::considerable";"frederick::property"
"morland::certainly";"morland::judicious"
"catherine::polite";"catherine::vain"
"catherine::companion";"catherine::particularly"
"allen::directly";"allen::just"
"catherine::dignified";"catherine::forward"
"catherine::exhibiting";"catherine::humble"
"catherine::accommodations";"morland::accommodations"
"catherine::direction";"mrs_allen::direction"
"catherine::certainly";"catherine::intelligence"
"catherine::certainly";"tilney::intelligence"
"catherine::intelligence";"tilney::certainly"
"catherine::intelligence";"tilney::intelligence"
"tilney::certainly";"tilney::intelligence"
"mrs_tilney::coarse";"mrs_tilney::deeper"
"mrs_tilney::coarse";"mrs_tilney::lived"
"mrs_tilney::coarse";"mrs_tilney::pitiless"
"mrs_tilney::deeper";"mrs_tilney::lived"
"mrs_tilney::deeper";"mrs_tilney::pitiless"
"mrs_tilney::lived";"mrs_tilney::pitiless"
"catherine::cold";"catherine::treacherous"
"catherine::boldly";"catherine::fearlessly"
"eleanor::gloomy";"eleanor::sedate"
"catherine::deeply";"eleanor::deeply"
"catherine::protection";"eleanor::protection"
"catherine::complimentary";"catherine::resentful"
"catherine::complimentary";"eleanor::complimentary"
"catherine::complimentary";"eleanor::resentful"
"catherine::resentful";"eleanor::complimentary"
"catherine::resentful";"eleanor::resentful"
"eleanor::complimentary";"eleanor::resentful"
"catherine::forward";"catherine::question"
"eleanor::negligence--some”--(involuntarily";"eleanor::quick"
"eleanor_tilney::#-amiable";"eleanor_tilney::consideration"
"eleanor_tilney::#-amiable";"eleanor_tilney::serious"
"eleanor_tilney::#-amiable";"eleanor_tilney::suspicions"
"eleanor_tilney::#-amiable";"henry::#-amiable"
"eleanor_tilney::#-amiable";"henry::consideration"
"eleanor_tilney::#-amiable";"henry::serious"
"eleanor_tilney::#-amiable";"henry::suspicions"
"eleanor_tilney::consideration";"eleanor_tilney::serious"
"eleanor_tilney::consideration";"eleanor_tilney::suspicions"
"eleanor_tilney::consideration";"henry::#-amiable"
"eleanor_tilney::consideration";"henry::consideration"
"eleanor_tilney::consideration";"henry::serious"
"eleanor_tilney::consideration";"henry::suspicions"
"eleanor_tilney::serious";"eleanor_tilney::suspicions"
"eleanor_tilney::serious";"henry::#-amiable"
"eleanor_tilney::serious";"henry::consideration"
"eleanor_tilney::serious";"henry::serious"
"eleanor_tilney::serious";"henry::suspicions"
"eleanor_tilney::suspicions";"henry::#-amiable"
"eleanor_tilney::suspicions";"henry::consideration"
"eleanor_tilney::suspicions";"henry::serious"
"eleanor_tilney::suspicions";"henry::suspicions"
"henry::#-amiable";"henry::consideration"
"henry::#-amiable";"henry::serious"
"henry::#-amiable";"henry::suspicions"
"henry::consideration";"henry::serious"
"henry::consideration";"henry::suspicions"
"henry::serious";"henry::suspicions"
"eleanor_tilney::lenient";"henry::lenient"
"isabella::dependence";"isabella::information"
"isabella::dependence";"isabella::kind"
"isabella::information";"isabella::kind"
"catherine::severe";"henry::severe"
"catherine::earnestly";"catherine::unpleasant"
"catherine::earnestly";"henry::earnestly"
"catherine::earnestly";"henry::unpleasant"
"catherine::unpleasant";"henry::earnestly"
"catherine::unpleasant";"henry::unpleasant"
"henry::earnestly";"henry::unpleasant"
"eleanor::deep";"henry::deep"
"eleanor::affectionately";"eleanor::gentle"
"eleanor::anxiously";"henry::anxiously"
"frederick::constant";"henry::constant"
"catherine::considering";"isabella::considering"
"catherine::independent";"catherine::persuasion"
"catherine::independent";"isabella::independent"
"catherine::independent";"isabella::persuasion"
"catherine::persuasion";"isabella::independent"
"catherine::persuasion";"isabella::persuasion"
"isabella::independent";"isabella::persuasion"
"isabella::property";"tilney::property"
"isabella::assured";"tilney::assured"
"henry::eagerly";"isabella::eagerly"
"henry::eagerly";"tilney::eagerly"
"isabella::eagerly";"tilney::eagerly"
"frederick::pleasantly";"morland::pleasantly"
"frederick::calculate";"morland::calculate"
"catherine::giving";"catherine::moralizing"
"catherine::giving";"catherine::pleasures"
"catherine::giving";"eleanor::giving"
"catherine::giving";"eleanor::moralizing"
"catherine::giving";"eleanor::pleasures"
"catherine::giving";"henry::giving"
"catherine::giving";"henry::moralizing"
"catherine::giving";"henry::pleasures"
"catherine::giving";"woodston::giving"
"catherine::giving";"woodston::moralizing"
"catherine::giving";"woodston::pleasures"
"catherine::moralizing";"catherine::pleasures"
"catherine::moralizing";"eleanor::giving"
"catherine::moralizing";"eleanor::moralizing"
"catherine::moralizing";"eleanor::pleasures"
"catherine::moralizing";"henry::giving"
"catherine::moralizing";"henry::moralizing"
"catherine::moralizing";"henry::pleasures"
"catherine::moralizing";"woodston::giving"
"catherine::moralizing";"woodston::moralizing"
"catherine::moralizing";"woodston::pleasures"
"catherine::pleasures";"eleanor::giving"
"catherine::pleasures";"eleanor::moralizing"
"catherine::pleasures";"eleanor::pleasures"
"catherine::pleasures";"henry::giving"
"catherine::pleasures";"henry::moralizing"
"catherine::pleasures";"henry::pleasures"
"catherine::pleasures";"woodston::giving"
"catherine::pleasures";"woodston::moralizing"
"catherine::pleasures";"woodston::pleasures"
"eleanor::giving";"eleanor::moralizing"
"eleanor::giving";"eleanor::pleasures"
"eleanor::giving";"henry::giving"
"eleanor::giving";"henry::moralizing"
"eleanor::giving";"henry::pleasures"
"eleanor::giving";"woodston::giving"
"eleanor::giving";"woodston::moralizing"
"eleanor::giving";"woodston::pleasures"
"eleanor::moralizing";"eleanor::pleasures"
"eleanor::moralizing";"henry::giving"
"eleanor::moralizing";"henry::moralizing"
"eleanor::moralizing";"henry::pleasures"
"eleanor::moralizing";"woodston::giving"
"eleanor::moralizing";"woodston::moralizing"
"eleanor::moralizing";"woodston::pleasures"
"eleanor::pleasures";"henry::giving"
"eleanor::pleasures";"henry::moralizing"
"eleanor::pleasures";"henry::pleasures"
"eleanor::pleasures";"woodston::giving"
"eleanor::pleasures";"woodston::moralizing"
"eleanor::pleasures";"woodston::pleasures"
"henry::giving";"henry::moralizing"
"henry::giving";"henry::pleasures"
"henry::giving";"woodston::giving"
"henry::giving";"woodston::moralizing"
"henry::giving";"woodston::pleasures"
"henry::moralizing";"henry::pleasures"
"henry::moralizing";"woodston::giving"
"henry::moralizing";"woodston::moralizing"
"henry::moralizing";"woodston::pleasures"
"henry::pleasures";"woodston::giving"
"henry::pleasures";"woodston::moralizing"
"henry::pleasures";"woodston::pleasures"
"woodston::giving";"woodston::moralizing"
"woodston::giving";"woodston::pleasures"
"woodston::moralizing";"woodston::pleasures"
"catherine::simpler";"henry::simpler"
"catherine::inexplicability";"henry::inexplicability"
"catherine::particular";"catherine::unassisted"
"catherine::particular";"henry::particular"
"catherine::particular";"henry::unassisted"
"catherine::unassisted";"henry::particular"
"catherine::unassisted";"henry::unassisted"
"henry::particular";"henry::unassisted"
"eleanor::affected";"henry::affected"
"eleanor::affected";"isabella::affected"
"henry::affected";"isabella::affected"
"catherine::honest";"catherine::pleasant"
"catherine::just";"catherine::stables"
"charlotte_davis::affected";"charlotte_davis::cold"
"charles_hodges::determined";"tilney::determined"
"eleanor::material";"henry::material"
"catherine::bitterness";"catherine::complimented"
"frederick::agreeable";"frederick::unpardonably"
"frederick::agreeable";"henry::agreeable"
"frederick::agreeable";"henry::unpardonably"
"frederick::unpardonably";"henry::agreeable"
"frederick::unpardonably";"henry::unpardonably"
"henry::agreeable";"henry::unpardonably"
"morland::anxiously";"morland::earnestly"
"eleanor::consideration";"eleanor::eager"
"mrs_morland::generous";"mrs_morland::pleasure"
"mrs_morland::generous";"richard::generous"
"mrs_morland::generous";"richard::pleasure"
"mrs_morland::pleasure";"richard::generous"
"richard::generous";"richard::pleasure"
"catherine::affectionate";"catherine::silent"
"catherine::affectionate";"tilney::affectionate"
"catherine::affectionate";"tilney::silent"
"catherine::silent";"tilney::affectionate"
"tilney::affectionate";"tilney::silent"
"catherine::directly";"eleanor::directly"
"tilney::particularly";"tilney::polite"
"catherine::approach";"catherine::restraining"
"eleanor::expression";"eleanor::justice"
"eleanor::expression";"henry::expression"
