"" "#-agreeable" "#-fair" "#-good" "#-handsome" "#-reasonable" "#-satisfied" "active" "affectionate" "afraid" "agreeable" "alone" "amazing" "amusing" "angry" "anxious" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "brilliant" "busy" "calm" "capable" "careless" "certain" "charming" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "concerned" "confident" "conscientious" "consistent" "cool" "critical" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "desirable" "determined" "difficult" "direct" "disappointed" "disgusting" "disrespectful" "distinguished" "eager" "embarrassed" "embarrassing" "entertaining" "excellent" "experienced" "extraordinary" "fair" "faithful" "familiar" "famous" "fine" "firm" "foolish" "fortunate" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "glad" "good" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "helpless" "honest" "hopeful" "ignorant" "impatient" "important" "independent" "innocent" "intellectual" "intelligent" "interested" "interesting" "irritable" "irritated" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "loud" "lovely" "lucky" "mature" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "productive" "proper" "proud" "punctual" "quiet" "reasonable" "religious" "remarkable" "respectable" "respectful" "rich" "ridiculous" "romantic" "rude" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "shallow" "short" "shy" "sincere" "smart" "social" "stable" "strange" "strict" "strong" "stubborn" "stupid" "successful" "surprised" "sweet" "sympathetic" "tall" "terrific" "thankful" "thin" "thorough" "thoughtless" "tired" "traditional" "uncomfortable" "unfriendly" "ungraceful" "unhappy" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "wealthy" "well" "wise" "wonderful" "worthy" "young" "youthful"
"capable" 1 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 0 1 0 1 0 1 2 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 1 0 0 0 4 0 0 0 4 0 1 2 0 1 0 0 0 1 2 1 0 1 0 1 1 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 1 0 0 0 0 1 2 0 1 0 0 0 0 1 1 0 1 1 2 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 1 0 0 0 0 2 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 2 0
"careless" 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 3 0 1 0 3 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 2 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 0
"certain" 0 0 0 0 0 0 0 2 0 1 1 0 0 2 1 1 0 0 0 0 0 1 2 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 2 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 3 1 0 0 2 0 0 2 0 0 0 4 0 2 0 0 0 0 0 1 2 1 8 0 0 1 5 0 1 6 0 2 0 0 0 1 1 2 1 0 0 1 0 2 0 0 1 1 1 0 0 9 2 0 0 0 1 0 0 1 0 0 0 2 4 0 0 0 1 0 2 2 1 0 4 3 2 1 0 0 0 0 3 0 0 1 0 0 2 0 0 1 0 0 0 1 2 0 0 0 4 0 2 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 5 0
"charming" 0 0 0 0 0 1 0 1 1 4 1 0 0 0 3 2 1 0 1 0 0 3 3 0 1 1 0 0 0 1 2 1 0 0 2 0 0 2 2 0 1 0 0 0 0 1 0 1 2 2 3 1 1 1 0 1 0 0 0 3 0 1 0 4 0 1 4 1 0 0 4 0 0 2 0 0 0 1 2 0 3 10 0 1 0 8 1 5 7 0 0 0 2 0 0 4 0 1 0 0 0 1 2 0 0 0 1 4 0 1 10 0 0 0 1 1 0 1 2 1 0 0 5 1 1 0 1 0 0 2 1 2 2 1 1 1 1 0 1 1 0 0 1 0 2 1 0 0 0 0 0 2 3 1 0 0 0 1 0 6 0 1 0 0 0 2 1 2 0 0 0 2 4 0 1 0 1 1 0 0 5 0 1 0 0 1 1 0 0 1 0 2 0 2 0 0 2 10 0
"cheap" 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"cheerful" 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0 1 2 1 2 0 0 0 1 1 4 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 2 0 1 1 0 1 0 0 1 0 0 1 0 3 5 0 1 0 5 0 2 5 0 1 0 3 0 1 0 1 0 0 0 1 0 3 0 0 0 0 2 0 1 6 0 0 0 0 1 0 0 1 0 0 0 4 2 0 0 0 0 0 0 0 1 2 2 1 1 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 1 1 0 1 0 0 0 4 0 1 0 1 0 2 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 3 0
"clean" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0
"clever" 0 0 1 0 0 0 0 1 2 1 0 0 0 0 1 2 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 2 0 2 0 1 0 0 0 1 1 2 4 0 0 0 4 0 0 3 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 4 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 4 0
"cold" 0 0 0 0 0 0 0 2 1 0 0 0 0 1 2 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 0 0 0 3 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 1 2 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 2 2 1 1 0 1 1 3 0 0 0 0 0 4 0 3 0 1 1 1 2 0 0 1 1 0 0 0 1 0 2 0 0 2 0 2 0 1 2 0 0 0 0 2 0 2 0
"comfortable" 0 0 0 0 0 0 0 2 0 2 1 0 0 0 4 1 0 0 1 0 0 3 1 0 0 1 1 1 0 2 1 2 2 0 4 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 2 0 0 0 1 0 1 1 2 0 1 4 0 1 0 0 0 0 0 1 0 3 5 0 0 1 7 0 1 5 0 1 1 2 0 1 1 1 1 0 0 1 0 2 0 0 1 1 1 0 0 9 1 0 0 0 1 0 1 1 1 1 0 3 3 0 0 0 0 0 0 0 1 1 4 2 1 0 0 0 0 0 2 1 0 1 1 0 0 0 0 0 1 0 1 0 2 0 1 0 5 0 2 0 1 0 4 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 0 1 0 0 2 0 0 0 0 1 1 0 1 2 0 0 3 0
"concerned" 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 2 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"confident" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"conscientious" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"consistent" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0
"cool" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"critical" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"cruel" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"curious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"dangerous" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"decent" 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 4 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 2 0 1 3 0 0 0 0 0 0 0 1 1 0 0 2 2 1 0 1 0 0 1 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 3 1
"delighted" 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 4 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 2 4 0 0 1 7 0 1 4 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 2 0 0 6 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 0 1 3 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 3 0 0 1 0 0 0 0 2 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 2 5 0
"delightful" 1 0 0 1 1 0 1 2 6 4 0 1 1 2 3 2 1 1 0 1 1 1 5 0 1 1 0 0 0 2 1 1 3 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 4 0 0 2 0 0 2 0 0 0 3 0 0 0 3 0 3 1 1 1 2 5 0 0 0 1 0 0 2 0 0 4 17 0 0 1 16 0 6 10 1 0 0 1 0 1 1 1 0 0 1 1 2 1 0 1 1 0 3 1 0 14 2 0 2 0 1 0 0 4 0 0 1 7 5 2 1 0 3 1 4 4 1 1 5 1 3 1 0 5 1 1 2 0 0 2 1 1 1 2 0 1 0 2 1 1 0 1 1 0 8 1 0 2 0 0 2 0 5 1 3 0 5 3 0 1 0 1 2 0 0 4 0 0 0 0 0 0 0 2 1 1 1 0 1 0 1 1 11 1
"desirable" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 2 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0
"determined" 0 1 0 0 0 0 0 1 2 0 0 1 1 0 2 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 0 2 0 0 1 2 0 1 2 0 0 0 1 1 0 0 0 0 1 0 0 0 3 5 0 0 0 3 0 3 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 5 0 0 0 0 0 0 0 1 1 0 0 0 2 2 0 0 2 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 1 0 2 0 0 0 1 2 0 0 0 1 1 0 0 2 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 5 0
"difficult" 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 1 2 0 0 0 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 2 0
"direct" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"disappointed" 0 0 0 0 0 0 0 0 2 4 0 1 0 0 2 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 4 0 0 0 2 0 1 0 0 0 0 0 2 0 2 5 0 1 1 5 0 2 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 6 1 0 1 0 1 0 0 0 1 0 0 4 3 0 0 1 1 0 1 0 1 0 2 0 2 2 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 5 0 1 1 0 0 3 0 2 0 0 2 1 1 1 0 1 0 0 0 0 2 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 4 0
"disgusting" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"disrespectful" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"distinguished" 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 2 2 0 0 0 2 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 2 0 1 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0
"eager" 0 0 0 0 0 1 1 3 0 0 3 0 0 3 2 1 1 0 1 1 0 0 2 0 1 0 0 1 1 1 1 3 3 0 3 0 0 2 2 2 0 0 1 0 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 4 0 1 1 1 0 0 1 1 1 3 9 0 0 0 4 0 3 7 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 6 0 0 1 0 2 0 0 3 0 0 0 3 2 1 0 0 0 0 0 1 1 2 3 1 3 1 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 3 0 2 3 0 0 0 3 0 0 0 0 0 2 0 2 0 0 0 1 4 0 0 1 1 1 0 0 2 1 1 0 0 1 0 0 0 1 0 2 0 0 1 1 2 4 0
"embarrassed" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
